[2019-07-26 10:22:02.047] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:02.864] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:03.057] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:03.880] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:04.073] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:04.890] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:05.080] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:05.902] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:06.098] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:06.916] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:07.114] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:07.926] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:08.125] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:09.140] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:09.147] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:22:27.887] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:35.896] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:35.901] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
